gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1201,64,128,4096,12288,ck,7,0,129.7683,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,99.29,408.06,0.0
gfx1201,64,256,4096,4096,ck,7,0,89.8139,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,95.64,221.82,0.0
gfx1201,64,256,4096,12288,ck,7,0,244.0826,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,105.58,227.69,0.0
gfx1201,64,512,4096,4096,ck,4,0,157.1747,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,109.3,146.77,0.0
gfx1201,64,512,4096,12288,ck,4,0,441.8527,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.64,137.64,0.0
gfx1201,64,4096,4096,4096,ck,4,0,1162.9288,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,118.18,57.71,0.0
gfx1201,64,4096,4096,12288,ck,4,0,3347.7524,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,123.16,40.09,0.0
gfx1201,64,4224,4096,16384,ck,7,0,6093.408,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,93.04,28.05,0.0
gfx1201,64,8192,4096,4096,ck,4,0,2257.1668,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,121.78,52.03,0.0
gfx1201,64,8192,4096,12288,ck,4,0,6813.6348,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,121.03,32.01,0.0
gfx1201,64,8448,4096,16384,ck,4,0,11011.4501,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,102.97,24.95,0.0
gfx1201,64,16384,4096,4096,ck,4,0,4561.8145,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,120.51,47.81,0.0
gfx1201,64,16384,4096,12288,ck,4,0,13600.3267,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,121.27,28.37,0.0
gfx1201,64,16896,4096,16384,ck,4,0,20464.2199,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,110.82,23.57,0.0
gfx1201,64,512,5120,5120,ck,4,0,215.7528,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.42,157.95,0.0
gfx1201,64,784,5120,5120,ck,4,0,346.2177,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,118.72,110.5,0.0
gfx1201,64,784,5120,13824,ck,4,0,894.087,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.13,100.26,0.0
gfx1201,64,855,5120,5120,ck,4,0,393.1415,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,114.02,100.08,0.0
gfx1201,64,855,5120,13824,ck,4,0,1041.9756,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.16,87.67,0.0
gfx1201,64,1568,5120,5120,ck,4,0,704.9329,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.62,71.35,0.0
gfx1201,64,1568,5120,13824,ck,7,0,2133.5289,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,104.04,50.86,0.0
gfx1201,64,2673,5120,5120,ck,4,0,1159.8937,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,120.82,58.0,0.0
gfx1201,64,2673,5120,13824,ck,4,0,3225.8662,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,117.3,41.88,0.0
gfx1201,64,3135,5120,5120,ck,5,0,1560.4437,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,105.33,47.66,0.0
gfx1201,64,3135,5120,13824,ck,4,0,4653.2689,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,95.37,31.42,0.0
gfx1201,64,5346,5120,5120,ck,4,0,2532.2522,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,110.69,42.78,0.0
gfx1201,64,5346,5120,13824,ck,7,0,7637.1859,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,99.09,26.11,0.0
